temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana
13-14,FIATC Joventut,9,34,16,18,2655,2658,6871,-15,2655,3030,1022,0
13-14,Gipuzkoa Basket,10,34,16,18,2417,2443,6793,-130,2417,2950,907,-123
13-14,Iberostar Tenerife,11,34,14,20,2644,2739,6841,-475,2644,3214,1051,-372
13-14,Rio Natura Monbus,12,34,13,21,2548,2624,6818,-380,2548,1618,713,-67
13-14,UCAM Murcia,13,34,12,22,2661,2866,6816,-1025,2661,2697,824,-377
13-14,Bilbao Basket,14,34,12,22,2692,2751,6816,-295,2692,2618,1036,-69
13-14,Baloncesto Fuenlabrada,15,34,12,22,2580,2768,6818,-940,2580,2430,727,-333
13-14,Tuenti Movil Estudiantes,16,34,12,22,2569,2682,6891,-565,2569,2535,711,-320
13-14,"Or Manresa""]",17,34,7,27,2464,2888,6840,-2118,2464,2280,716,-749
13-14,Valladolid,18,34,3,31,2392,3075,6793,-3415,2392,1502,330,-690
03-04,TAU Cer\xe1mica,1,34,28,6,2964,2668,6793,3196,2964,1498,500,610
03-04,Pamesa C Valencia,2,34,23,11,2841,2659,6817,2804,2841,1575,544,461
03-04,F.C. Barcelona,3,34,23,11,2606,2462,6793,2810,2606,3553,1254,1214
03-04,Unicaja,4,34,20,14,2621,2623,6843,2533,2621,1260,412,352
03-04,Adecco Estudiantes,5,34,20,14,2750,2642,6793,2749,2750,3657,1393,1570
03-04,Real Madrid,6,34,20,14,2846,2727,6844,2878,2846,2488,1019,917
03-04,Auna G. Canaria,7,34,17,17,2551,2529,6818,2527,2551,2789,887,926
03-04,DKV Joventut,8,34,16,18,2829,2759,6819,2884,2829,3011,1126,1131
03-04,Ricoh Manresa,9,34,16,18,2707,2697,6795,2627,2707,3910,1271,1177
03-04,Unelco Tenerife,10,34,16,18,2651,2715,6820,2644,2651,4042,1436,1311
03-04,F\xf3rum Valladolid,11,34,16,18,2798,2844,6845,2721,2798,3090,1167,1080
03-04,Caja San Fernando,12,34,15,19,2708,2684,6844,2639,2708,1487,473,391
03-04,Casademont Girona,13,34,15,19,2735,2785,6819,2696,2735,1070,395,429
03-04,Etosa Alicante,14,34,14,20,2558,2633,6818,2507,2558,3762,1193,1109
03-04,Leche R\xedo,15,34,14,20,2714,2818,6819,2470,2714,2301,795,638
03-04,Caprabo Lleida,16,34,13,21,2673,2790,6819,2642,2673,3587,1346,1203
03-04,Jabones Pardo Fuenlabrada,17,34,13,21,2704,2932,6820,2543,2704,4082,1378,1370
03-04,Polaris World CB Murcia,18,34,7,27,2565,2854,6817,2420,2565,2750,832,744
93-94,Real Madrid Teka,1,28,24,4,2473,2164,5668,2784,2473,2799,997,1061
93-94,F.C. Barcelona Banca Catalana,2,28,21,7,2453,2314,5667,2552,2453,3306,1272,1326
93-94,Tdk Manresa,3,28,19,9,2219,2207,5619,2347,2219,2895,1018,870
93-94,7Up Joventut,4,28,18,10,2304,2071,5594,2391,2304,3475,1385,1282
93-94,Festina Andorra,5,28,18,10,2392,2223,5619,2656,2392,2788,870,1034
93-94,Estudiantes Caja Postal,6,28,17,11,2249,2155,5643,2367,2249,3582,1377,1395
93-94,Taugr\xe9s,7,28,16,12,2377,2289,5666,2483,2377,2195,678,746
93-94,C\xe1ceres C.B.,8,28,15,13,2331,2328,5620,2222,2331,3058,1028,869
93-94,Caja San Fernando,9,28,14,14,2362,2356,5643,2387,2362,2559,794,770
93-94,Pamesa Valencia,10,28,14,14,2276,2337,5617,2132,2276,2274,577,515
93-94,Elmar Le\xf3n,11,28,13,15,2360,2390,5643,2425,2360,2790,1136,921
93-94,Unicaja Polti,12,28,12,16,2256,2285,5670,2210,2256,3166,1104,1023
93-94,Coren Orense,13,28,12,16,2119,2212,5644,2044,2119,1497,366,245
93-94,Banco Natwest Zaragoza,14,28,11,17,2283,2371,5639,2302,2283,2944,904,783
