temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana,total_jug,jug_esp,jug1,jug3,jug5,mas5,porcentaje_jug_esp,porcentaje_jug_1,porcentaje_jug_3,porcentaje_jug_5,porcentaje_jug_mas5,total_min_no_esp,porcentaje_min_esp,porcentaje_min_no_esp,total_puntos_no_esp,porcentaje_puntos_esp,porcentaje_puntos_no_esp,total_val_no_esp,porcentaje_val_esp,porcentaje_val__no_esp
03-04,Ricoh Manresa,9,34,16,18,2707,2697,6795,2627,2707,3910,1271,1177,11,8,1,8,1,1,0.7,0.1,0.7,0.1,0.1,2885,0.6,0.4,1436,0.5,0.5,1450,0.4,0.6
03-04,Unelco Tenerife,10,34,16,18,2651,2715,6820,2644,2651,4042,1436,1311,15,11,2,13,0,0,0.7,0.1,0.9,0.0,0.0,2778,0.6,0.4,1215,0.5,0.5,1333,0.5,0.5
03-04,F\xf3rum Valladolid,11,34,16,18,2798,2844,6845,2721,2798,3090,1167,1080,13,8,3,9,0,1,0.6,0.2,0.7,0.0,0.1,3755,0.5,0.5,1631,0.4,0.6,1641,0.4,0.6
03-04,Caja San Fernando,12,34,15,19,2708,2684,6844,2639,2708,1487,473,391,14,7,1,12,0,1,0.5,0.1,0.9,0.0,0.1,5357,0.2,0.8,2235,0.2,0.8,2248,0.1,0.9
03-04,Casademont Girona,13,34,15,19,2735,2785,6819,2696,2735,1070,395,429,13,5,2,10,0,1,0.4,0.2,0.8,0.0,0.1,5749,0.2,0.8,2340,0.1,0.9,2267,0.2,0.8
03-04,Etosa Alicante,14,34,14,20,2558,2633,6818,2507,2558,3762,1193,1109,16,9,1,15,0,0,0.6,0.1,0.9,0.0,0.0,3056,0.6,0.4,1365,0.5,0.5,1398,0.4,0.6
03-04,Leche R\xedo,15,34,14,20,2714,2818,6819,2470,2714,2301,795,638,15,9,3,12,0,0,0.6,0.2,0.8,0.0,0.0,4518,0.3,0.7,1919,0.3,0.7,1832,0.3,0.7
03-04,Caprabo Lleida,16,34,13,21,2673,2790,6819,2642,2673,3587,1346,1203,13,9,2,8,0,3,0.7,0.2,0.6,0.0,0.2,3232,0.5,0.5,1327,0.5,0.5,1439,0.5,0.5
03-04,Jabones Pardo Fuenlabrada,17,34,13,21,2704,2932,6820,2543,2704,4082,1378,1370,14,8,2,11,1,0,0.6,0.1,0.8,0.1,0.0,2738,0.6,0.4,1326,0.5,0.5,1173,0.5,0.5
03-04,Polaris World CB Murcia,18,34,7,27,2565,2854,6817,2420,2565,2750,832,744,15,5,5,6,1,3,0.3,0.3,0.4,0.1,0.2,4067,0.4,0.6,1733,0.3,0.7,1676,0.3,0.7
93-94,Real Madrid Teka,1,28,24,4,2473,2164,5668,2784,2473,2799,997,1061,12,8,0,12,0,0,0.7,0.0,1.0,0.0,0.0,2869,0.5,0.5,1476,0.4,0.6,1723,0.4,0.6
93-94,F.C. Barcelona Banca Catalana,2,28,21,7,2453,2314,5667,2552,2453,3306,1272,1326,15,11,2,13,0,0,0.7,0.1,0.9,0.0,0.0,2361,0.6,0.4,1181,0.5,0.5,1226,0.5,0.5
93-94,Tdk Manresa,3,28,19,9,2219,2207,5619,2347,2219,2895,1018,870,11,8,2,8,1,0,0.7,0.2,0.7,0.1,0.0,2724,0.5,0.5,1201,0.5,0.5,1477,0.4,0.6
93-94,7Up Joventut,4,28,18,10,2304,2071,5594,2391,2304,3475,1385,1282,13,8,1,12,0,0,0.6,0.1,0.9,0.0,0.0,2119,0.6,0.4,919,0.6,0.4,1109,0.5,0.5
93-94,Festina Andorra,5,28,18,10,2392,2223,5619,2656,2392,2788,870,1034,12,9,0,12,0,0,0.8,0.0,1.0,0.0,0.0,2831,0.5,0.5,1522,0.4,0.6,1622,0.4,0.6
93-94,Estudiantes Caja Postal,6,28,17,11,2249,2155,5643,2367,2249,3582,1377,1395,17,10,2,14,1,0,0.6,0.1,0.8,0.1,0.0,2061,0.6,0.4,872,0.6,0.4,972,0.6,0.4
93-94,Taugr\xe9s,7,28,16,12,2377,2289,5666,2483,2377,2195,678,746,17,9,3,14,0,0,0.5,0.2,0.8,0.0,0.0,3471,0.4,0.6,1699,0.3,0.7,1737,0.3,0.7
93-94,C\xe1ceres C.B.,8,28,15,13,2331,2328,5620,2222,2331,3058,1028,869,12,8,2,10,0,0,0.7,0.2,0.8,0.0,0.0,2562,0.5,0.5,1303,0.4,0.6,1353,0.4,0.6
93-94,Caja San Fernando,9,28,14,14,2362,2356,5643,2387,2362,2559,794,770,12,7,0,11,1,0,0.6,0.0,0.9,0.1,0.0,3084,0.5,0.5,1568,0.3,0.7,1617,0.3,0.7
93-94,Pamesa Valencia,10,28,14,14,2276,2337,5617,2132,2276,2274,577,515,14,9,0,13,1,0,0.6,0.0,0.9,0.1,0.0,3343,0.4,0.6,1699,0.3,0.7,1617,0.2,0.8
93-94,Elmar Le\xf3n,11,28,13,15,2360,2390,5643,2425,2360,2790,1136,921,11,8,1,10,0,0,0.7,0.1,0.9,0.0,0.0,2853,0.5,0.5,1224,0.5,0.5,1504,0.4,0.6
93-94,Unicaja Polti,12,28,12,16,2256,2285,5670,2210,2256,3166,1104,1023,11,8,1,8,2,0,0.7,0.1,0.7,0.2,0.0,2504,0.6,0.4,1152,0.5,0.5,1187,0.5,0.5
93-94,Coren Orense,13,28,12,16,2119,2212,5644,2044,2119,1497,366,245,12,5,2,10,0,0,0.4,0.2,0.8,0.0,0.0,4147,0.3,0.7,1753,0.2,0.8,1799,0.1,0.9
93-94,Banco Natwest Zaragoza,14,28,11,17,2283,2371,5639,2302,2283,2944,904,783,20,13,4,16,0,0,0.6,0.2,0.8,0.0,0.0,2695,0.5,0.5,1379,0.4,0.6,1519,0.3,0.7
93-94,C. Baloncesto Oar,15,28,11,17,2126,2134,5644,2020,2126,3147,814,654,11,8,1,10,0,0,0.7,0.1,0.9,0.0,0.0,2497,0.6,0.4,1312,0.4,0.6,1366,0.3,0.7
93-94,Dyc Lugo,16,28,10,18,2092,2238,5594,1934,2092,3153,974,865,15,8,4,11,0,0,0.5,0.3,0.7,0.0,0.0,2441,0.6,0.4,1118,0.5,0.5,1069,0.4,0.6
93-94,F\xf3rum Valladolid,17,28,9,19,2395,2504,5646,2370,2395,2480,741,739,13,7,2,11,0,0,0.5,0.2,0.8,0.0,0.0,3166,0.4,0.6,1654,0.3,0.7,1631,0.3,0.7
93-94,Argal Huesca,18,28,9,19,2327,2456,5667,2265,2327,3160,1037,905,18,12,3,11,4,0,0.7,0.2,0.6,0.2,0.0,2507,0.6,0.4,1290,0.4,0.6,1360,0.4,0.6
93-94,Valvi Girona,19,28,9,19,2204,2371,5718,2063,2204,2627,948,725,17,9,1,14,2,0,0.5,0.1,0.8,0.1,0.0,3091,0.5,0.5,1256,0.4,0.6,1338,0.4,0.6
93-94,C.B. Murcia,20,28,8,20,2108,2301,5642,1976,2108,2622,757,473,16,12,3,13,0,0,0.8,0.2,0.8,0.0,0.0,3020,0.5,0.5,1351,0.4,0.6,1503,0.2,0.8
12-13,Real Madrid,1,34,30,4,2985,2563,6819,2100,2985,3249,1534,1142,15,7,0,15,0,0,0.5,0.0,1.0,0.0,0.0,3570,0.5,0.5,1451,0.5,0.5,958,0.5,0.5
12-13,Caja Laboral,2,34,25,9,2815,2695,6842,600,2815,1135,455,130,16,4,1,13,1,1,0.2,0.1,0.8,0.1,0.1,5707,0.2,0.8,2360,0.2,0.8,470,0.2,0.8
12-13,Regal FC Barcelona,3,34,23,11,2693,2436,6842,1285,2693,1679,522,306,18,4,0,16,2,0,0.2,0.0,0.9,0.1,0.0,5163,0.2,0.8,2171,0.2,0.8,979,0.2,0.8
12-13,Valencia Basket Club,4,34,22,12,2764,2579,6816,925,2764,2144,739,285,22,7,3,18,0,1,0.3,0.1,0.8,0.0,0.0,4672,0.3,0.7,2025,0.3,0.7,640,0.3,0.7
12-13,CAI Zaragoza,5,34,21,13,2692,2460,6818,1160,2692,1802,602,344,16,6,1,15,0,0,0.4,0.1,0.9,0.0,0.0,5016,0.3,0.7,2090,0.2,0.8,816,0.3,0.7
12-13,Herbalife Gran Canaria,6,34,19,15,2491,2416,6817,375,2491,2211,596,100,15,6,2,11,1,1,0.4,0.1,0.7,0.1,0.1,4606,0.3,0.7,1895,0.2,0.8,275,0.3,0.7
12-13,Gescrap Bizkaia,7,34,19,15,2762,2665,6843,485,2762,2100,790,265,12,4,2,10,0,0,0.3,0.2,0.8,0.0,0.0,4743,0.3,0.7,1972,0.3,0.7,220,0.5,0.5
12-13,Blusens Monbus,8,34,18,16,2556,2507,6818,245,2556,1358,642,46,14,5,3,10,0,1,0.4,0.2,0.7,0.0,0.1,5460,0.2,0.8,1914,0.3,0.7,199,0.2,0.8
12-13,Unicaja,9,34,18,16,2481,2475,6791,30,2481,2085,703,6,17,6,4,11,1,1,0.4,0.2,0.6,0.1,0.1,4706,0.3,0.7,1778,0.3,0.7,24,0.2,0.8
12-13,CB Canarias,10,34,17,17,2746,2806,6818,-300,2746,3012,1078,-253,16,11,4,12,0,0,0.7,0.2,0.8,0.0,0.0,3806,0.4,0.6,1668,0.4,0.6,-47,0.8,0.2
12-13,FIATC Joventut,11,34,16,18,2653,2738,6818,-425,2653,2915,1009,-92,15,8,4,11,0,0,0.5,0.3,0.7,0.0,0.0,3903,0.4,0.6,1644,0.4,0.6,-333,0.2,0.8
12-13,Asefa Estudiantes,12,34,15,19,2712,2704,6791,40,2712,547,141,48,14,4,1,11,0,2,0.3,0.1,0.8,0.0,0.1,6244,0.1,0.9,2571,0.1,0.9,-8,1.2,-0.2
12-13,UCAM Murcia,13,34,13,21,2691,2888,6869,-985,2691,2896,1046,-348,16,6,6,9,0,1,0.4,0.4,0.6,0.0,0.1,3973,0.4,0.6,1645,0.4,0.6,-637,0.4,0.6
12-13,Mad-Croc Fuenlabrada,14,34,12,22,2530,2695,6819,-825,2530,1937,485,-402,15,5,1,11,3,0,0.3,0.1,0.7,0.2,0.0,4882,0.3,0.7,2045,0.2,0.8,-423,0.5,0.5
12-13,Cajasol,15,34,12,22,2448,2606,6791,-790,2448,1364,392,-108,17,3,4,13,0,0,0.2,0.2,0.8,0.0,0.0,5427,0.2,0.8,2056,0.2,0.8,-682,0.1,0.9
12-13,Blancos de Rueda Valladolid,16,34,12,22,2644,2838,6866,-970,2644,3056,1142,-497,19,8,7,12,0,0,0.4,0.4,0.6,0.0,0.0,3810,0.4,0.6,1502,0.4,0.6,-473,0.5,0.5
12-13,Lagun Aro GBC,17,34,8,26,2492,2750,6818,-1290,2492,2602,921,-557,15,6,4,11,0,0,0.4,0.3,0.7,0.0,0.0,4216,0.4,0.6,1571,0.4,0.6,-733,0.4,0.6
12-13,Assignia Manresa,18,34,6,28,2574,2908,6865,-1670,2574,2704,801,-667,17,8,2,13,0,2,0.5,0.1,0.8,0.0,0.1,4161,0.4,0.6,1773,0.3,0.7,-1003,0.4,0.6
02-03,F.C. Barcelona,1,34,27,7,2792,2588,6895,2941,2792,3556,1310,1412,13,7,0,13,0,0,0.5,0.0,1.0,0.0,0.0,3339,0.5,0.5,1482,0.5,0.5,1529,0.5,0.5
02-03,Pamesa Valencia,2,34,26,8,2815,2524,6841,3023,2815,2516,991,891,17,6,3,14,0,0,0.4,0.2,0.8,0.0,0.0,4325,0.4,0.6,1824,0.4,0.6,2132,0.3,0.7
02-03,Unicaja,3,34,24,10,2663,2567,6819,2562,2663,1496,511,408,16,5,2,13,1,0,0.3,0.1,0.8,0.1,0.0,5323,0.2,0.8,2152,0.2,0.8,2154,0.2,0.8
02-03,Adecco Estudiantes,4,34,23,11,2870,2605,6870,2948,2870,3689,1481,1758,13,6,0,12,0,1,0.5,0.0,0.9,0.0,0.1,3181,0.5,0.5,1389,0.5,0.5,1190,0.6,0.4
02-03,Auna,5,34,21,13,2834,2713,6845,2808,2834,2341,841,817,14,7,1,10,1,2,0.5,0.1,0.7,0.1,0.1,4504,0.3,0.7,1993,0.3,0.7,1991,0.3,0.7
02-03,TAU Cer\xe1mica,6,34,18,16,2763,2665,6891,2763,2763,1115,347,414,17,4,4,12,1,0,0.2,0.2,0.7,0.1,0.0,5776,0.2,0.8,2416,0.1,0.9,2349,0.1,0.9
02-03,DKV Joventut,7,34,18,16,2849,2753,6895,2886,2849,3104,1223,1265,14,5,0,14,0,0,0.4,0.0,1.0,0.0,0.0,3791,0.5,0.5,1626,0.4,0.6,1621,0.4,0.6
02-03,Lucentum Alicante,8,34,18,16,2745,2716,6791,2767,2745,2146,820,744,17,9,5,9,0,3,0.5,0.3,0.5,0.0,0.2,4645,0.3,0.7,1925,0.3,0.7,2023,0.3,0.7
02-03,Leche Rio Breogan,9,34,17,17,2769,2830,6893,2690,2769,3161,1191,1132,13,6,1,11,0,1,0.5,0.1,0.8,0.0,0.1,3732,0.5,0.5,1578,0.4,0.6,1558,0.4,0.6
02-03,Real Madrid,10,34,17,17,2667,2608,6843,2607,2667,3409,1306,1227,16,8,1,15,0,0,0.5,0.1,0.9,0.0,0.0,3434,0.5,0.5,1361,0.5,0.5,1380,0.5,0.5
02-03,Caprabo Lleida,11,34,16,18,2730,2819,6842,2612,2730,3217,1291,1119,14,9,0,12,0,2,0.6,0.0,0.9,0.0,0.1,3625,0.5,0.5,1439,0.5,0.5,1493,0.4,0.6
02-03,Caja San Fernando,12,34,16,18,2722,2687,6794,2679,2722,2399,798,798,14,8,1,11,2,0,0.6,0.1,0.8,0.1,0.0,4395,0.4,0.6,1924,0.3,0.7,1881,0.3,0.7
02-03,Ricoh Manresa,13,34,15,19,2692,2757,6891,2537,2692,4437,1605,1484,13,9,0,11,0,2,0.7,0.0,0.8,0.0,0.2,2454,0.6,0.4,1087,0.6,0.4,1053,0.6,0.4
02-03,Jabones Pardo Fuenlabrada,14,34,14,20,2740,2881,6843,2564,2740,3694,1164,937,12,9,1,8,0,3,0.8,0.1,0.7,0.0,0.2,3149,0.5,0.5,1576,0.4,0.6,1627,0.4,0.6
02-03,Casademont Girona,15,34,12,22,2623,2790,6867,2663,2623,1786,664,636,14,7,1,8,1,4,0.5,0.1,0.6,0.1,0.3,5081,0.3,0.7,1959,0.3,0.7,2027,0.2,0.8
02-03,F\xf3rum Valladolid,16,34,11,23,2625,2789,6818,2448,2625,3466,1292,1118,15,7,1,11,2,1,0.5,0.1,0.7,0.1,0.1,3352,0.5,0.5,1333,0.5,0.5,1330,0.5,0.5
02-03,Caceres Cb,17,34,8,26,2683,2930,6817,2442,2683,3162,1062,964,13,6,0,10,0,3,0.5,0.0,0.8,0.0,0.2,3655,0.5,0.5,1621,0.4,0.6,1478,0.4,0.6
02-03,C.B. Granada,18,34,5,29,2584,2944,6818,2248,2584,3970,1320,1230,18,10,6,11,1,0,0.6,0.3,0.6,0.1,0.0,2848,0.6,0.4,1264,0.5,0.5,1018,0.5,0.5
92-93,Real Madrid Teka,1,31,25,6,2531,2287,6220,2867,2531,2615,743,837,11,6,0,11,0,0,0.5,0.0,1.0,0.0,0.0,3605,0.4,0.6,1788,0.3,0.7,2030,0.3,0.7
92-93,Marbella Joventut,2,31,24,7,2621,2332,6246,2924,2621,3392,1472,1437,12,7,2,10,0,0,0.6,0.2,0.8,0.0,0.0,2854,0.5,0.5,1149,0.6,0.4,1487,0.5,0.5
92-93,F.C. Barcelona Banca Catalana,3,31,23,8,2670,2485,6192,2843,2670,3494,1387,1263,16,12,0,16,0,0,0.8,0.0,1.0,0.0,0.0,2698,0.6,0.4,1283,0.5,0.5,1580,0.4,0.6
92-93,Estudiantes Caja Postal,4,31,21,10,2510,2403,6219,2801,2510,3680,1323,1495,12,9,0,12,0,0,0.8,0.0,1.0,0.0,0.0,2539,0.6,0.4,1187,0.5,0.5,1306,0.5,0.5
92-93,Caja San Fernando,5,31,19,12,2641,2473,6245,2973,2641,2710,774,945,13,8,1,12,0,0,0.6,0.1,0.9,0.0,0.0,3535,0.4,0.6,1867,0.3,0.7,2028,0.3,0.7
92-93,Unicaja Mayoral,6,31,19,12,2481,2484,6242,2420,2481,3185,902,818,13,10,0,13,0,0,0.8,0.0,1.0,0.0,0.0,3057,0.5,0.5,1579,0.4,0.6,1602,0.3,0.7
92-93,Valencia Basket,7,31,18,13,2454,2451,6195,2581,2454,2493,612,683,13,7,1,12,0,0,0.5,0.1,0.9,0.0,0.0,3702,0.4,0.6,1842,0.2,0.8,1898,0.3,0.7
92-93,Elos\xfaa Le\xf3n,8,31,17,14,2683,2557,6244,2886,2683,2907,1203,1111,12,7,1,11,0,0,0.6,0.1,0.9,0.0,0.0,3337,0.5,0.5,1480,0.4,0.6,1775,0.4,0.6
92-93,Taugr\xe9s,9,31,17,14,2610,2540,6217,2918,2610,1949,540,708,18,7,5,13,0,0,0.4,0.3,0.7,0.0,0.0,4268,0.3,0.7,2070,0.2,0.8,2210,0.2,0.8
92-93,Banco Natwest Zaragoza,10,31,16,15,2310,2310,6194,2532,2310,3486,1211,1297,16,11,2,14,0,0,0.7,0.1,0.9,0.0,0.0,2708,0.6,0.4,1099,0.5,0.5,1235,0.5,0.5
92-93,Coren Orense,11,31,15,16,2450,2476,6221,2453,2450,2723,731,460,11,8,0,11,0,0,0.7,0.0,1.0,0.0,0.0,3498,0.4,0.6,1719,0.3,0.7,1993,0.2,0.8
92-93,Festina Andorra,12,31,15,16,2345,2349,6219,2476,2345,2926,830,893,11,7,2,9,0,0,0.6,0.2,0.8,0.0,0.0,3293,0.5,0.5,1515,0.4,0.6,1583,0.4,0.6
92-93,Tdk Manresa,13,31,15,16,2416,2489,6196,2651,2416,2849,801,718,12,9,0,12,0,0,0.8,0.0,1.0,0.0,0.0,3347,0.5,0.5,1615,0.3,0.7,1933,0.3,0.7
92-93,Bfi Granollers,14,31,13,18,2483,2554,6193,2544,2483,3186,1084,1007,13,10,0,13,0,0,0.8,0.0,1.0,0.0,0.0,3007,0.5,0.5,1399,0.4,0.6,1537,0.4,0.6
92-93,Oar Pescanova Ferrol,15,31,12,19,2307,2483,5993,2137,2309,3602,1063,916,14,10,1,13,0,0,0.7,0.1,0.9,0.0,0.0,2391,0.6,0.4,1246,0.5,0.5,1221,0.4,0.6
92-93,Valvi Girona,16,31,12,19,2458,2550,6243,2385,2458,2738,983,749,16,9,2,14,0,0,0.6,0.1,0.9,0.0,0.0,3505,0.4,0.6,1475,0.4,0.6,1636,0.3,0.7
92-93,Dyc Breog\xe1n,17,31,12,19,2591,2619,6243,2573,2591,2835,715,492,13,8,2,11,0,0,0.6,0.2,0.8,0.0,0.0,3408,0.5,0.5,1876,0.3,0.7,2081,0.2,0.8
92-93,Grupo Libro Valladolid,18,31,11,20,2412,2542,6267,2517,2412,1332,288,340,15,6,2,13,0,0,0.4,0.1,0.9,0.0,0.0,4935,0.2,0.8,2124,0.1,0.9,2177,0.1,0.9
92-93,Argal Huesca,19,31,11,20,2488,2574,6193,2460,2488,3296,1075,876,16,8,3,13,0,0,0.5,0.2,0.8,0.0,0.0,2897,0.5,0.5,1413,0.4,0.6,1584,0.4,0.6
92-93,Club Basket Ferrys Lliria,20,31,10,21,2417,2545,6067,2236,2417,2670,867,566,16,9,3,13,0,0,0.6,0.2,0.8,0.0,0.0,3397,0.4,0.6,1550,0.4,0.6,1670,0.3,0.7
92-93,C\xe1ceres C.B.,21,31,9,22,2365,2470,6195,2277,2365,3138,879,553,14,9,5,9,0,0,0.6,0.4,0.6,0.0,0.0,3057,0.5,0.5,1486,0.4,0.6,1724,0.2,0.8
92-93,C.B. Juver Murcia,22,31,7,24,2260,2530,6214,2115,2260,3194,962,783,20,11,8,12,0,0,0.6,0.4,0.6,0.0,0.0,3020,0.5,0.5,1298,0.4,0.6,1332,0.4,0.6
11-12,Regal FC Barcelona,1,34,29,5,2639,2232,6871,2035,2639,2082,769,602,16,6,2,13,0,1,0.4,0.1,0.8,0.0,0.1,4789,0.3,0.7,1870,0.3,0.7,1433,0.3,0.7
11-12,Real Madrid,2,34,26,8,2829,2513,6794,1580,2829,2950,1188,770,15,7,0,15,0,0,0.5,0.0,1.0,0.0,0.0,3844,0.4,0.6,1641,0.4,0.6,810,0.5,0.5
11-12,Caja Laboral,3,34,23,11,2545,2384,6819,805,2545,1350,433,174,20,4,2,16,0,2,0.2,0.1,0.8,0.0,0.1,5469,0.2,0.8,2112,0.2,0.8,631,0.2,0.8
11-12,Valencia Basket,4,34,20,14,2531,2401,6817,650,2531,2058,673,170,21,9,3,16,0,2,0.4,0.1,0.8,0.0,0.1,4759,0.3,0.7,1858,0.3,0.7,480,0.3,0.7
11-12,Gescrap Bizkaia,5,34,19,15,2642,2615,6867,135,2642,1871,723,92,15,3,1,12,2,0,0.2,0.1,0.8,0.1,0.0,4996,0.3,0.7,1919,0.3,0.7,43,0.7,0.3
11-12,Lagun Aro GBC,6,34,19,15,2664,2578,6843,430,2664,2706,946,282,15,6,3,11,0,1,0.4,0.2,0.7,0.0,0.1,4137,0.4,0.6,1718,0.4,0.6,148,0.7,0.3
11-12,Cajasol Banca Civica,7,34,18,16,2523,2460,6892,315,2523,2115,670,36,14,6,0,13,0,1,0.4,0.0,0.9,0.0,0.1,4777,0.3,0.7,1853,0.3,0.7,279,0.1,0.9
11-12,Lucentum Alicante,8,34,18,16,2352,2439,6841,-435,2352,1276,393,-109,17,4,4,9,1,3,0.2,0.2,0.5,0.1,0.2,5565,0.2,0.8,1959,0.2,0.8,-326,0.3,0.7
11-12,Unicaja,9,34,17,17,2509,2562,6816,-265,2509,1660,455,43,20,6,5,13,0,2,0.3,0.2,0.6,0.0,0.1,5156,0.2,0.8,2054,0.2,0.8,-308,-0.2,1.2
11-12,FIATC Mutua Joventut,10,34,16,18,2493,2562,6866,-345,2493,1542,413,-223,18,7,2,15,1,0,0.4,0.1,0.8,0.1,0.0,5324,0.2,0.8,2080,0.2,0.8,-122,0.6,0.4
11-12,CAI Zaragoza,11,34,16,18,2404,2454,6891,-250,2404,2259,706,-98,17,7,3,12,0,2,0.4,0.2,0.7,0.0,0.1,4632,0.3,0.7,1698,0.3,0.7,-152,0.4,0.6
11-12,Assignia Manresa,12,34,15,19,2497,2559,6791,-310,2497,1930,379,-207,16,6,4,12,0,0,0.4,0.2,0.8,0.0,0.0,4861,0.3,0.7,2118,0.2,0.8,-103,0.7,0.3
11-12,Blusens Monbus,13,34,13,21,2405,2481,6844,-380,2405,1261,532,24,12,4,3,6,3,0,0.3,0.2,0.5,0.2,0.0,5583,0.2,0.8,1873,0.2,0.8,-404,-0.1,1.1
11-12,Gran Canaria 2014,14,34,13,21,2268,2395,6868,-635,2268,2661,702,-141,17,7,4,13,0,0,0.4,0.2,0.8,0.0,0.0,4207,0.4,0.6,1566,0.3,0.7,-494,0.2,0.8
11-12,UCAM Murcia,15,34,13,21,2439,2512,6818,-365,2439,2869,870,-244,18,7,3,12,2,1,0.4,0.2,0.7,0.1,0.1,3949,0.4,0.6,1569,0.4,0.6,-121,0.7,0.3
11-12,Mad-Croc Fuenlabrada,16,34,12,22,2414,2585,6867,-855,2414,2965,832,-406,20,8,5,15,0,0,0.4,0.2,0.8,0.0,0.0,3902,0.4,0.6,1582,0.3,0.7,-449,0.5,0.5
11-12,Asefa Estudiantes,17,34,11,23,2394,2573,6816,-895,2394,1612,416,-128,19,7,6,10,1,2,0.4,0.3,0.5,0.1,0.1,5204,0.2,0.8,1978,0.2,0.8,-767,0.1,0.9
11-12,Blancos de Rueda Valladolid,18,34,8,26,2349,2592,6841,-1215,2349,2439,712,-466,19,7,5,10,3,1,0.4,0.3,0.5,0.2,0.1,4402,0.4,0.6,1637,0.3,0.7,-749,0.4,0.6
01-02,Unicaja,1,34,27,7,2782,2455,6868,2847,2782,2102,735,576,14,5,1,13,0,0,0.4,0.1,0.9,0.0,0.0,4766,0.3,0.7,2047,0.3,0.7,2271,0.2,0.8
01-02,F.C. Barcelona,2,34,27,7,2960,2687,6792,3168,2960,2792,984,1191,17,7,2,14,1,0,0.4,0.1,0.8,0.1,0.0,4000,0.4,0.6,1976,0.3,0.7,1977,0.4,0.6
01-02,TAU Cer\xe1mica,3,34,24,10,2764,2429,6792,2943,2844,790,207,208,17,3,2,14,1,0,0.2,0.1,0.8,0.1,0.0,6002,0.1,0.9,2637,0.1,0.9,2735,0.1,0.9
01-02,Real Madrid,4,34,24,10,2818,2577,6891,3036,2818,3103,1237,1288,17,9,3,11,1,2,0.5,0.2,0.6,0.1,0.1,3788,0.5,0.5,1581,0.4,0.6,1748,0.4,0.6
01-02,Pamesa Valencia,5,34,21,13,2681,2534,6893,2846,2681,3287,1197,1231,13,5,2,10,0,1,0.4,0.2,0.8,0.0,0.1,3606,0.5,0.5,1484,0.4,0.6,1615,0.4,0.6
01-02,Adecco Estudiantes,6,34,20,14,2933,2771,6844,2967,2933,4243,1691,1904,12,8,0,12,0,0,0.7,0.0,1.0,0.0,0.0,2601,0.6,0.4,1242,0.6,0.4,1063,0.6,0.4
01-02,Jabones Pardo Fuenlabrada,7,34,19,15,2675,2709,6843,2434,2675,4627,1553,1416,14,12,1,11,2,0,0.9,0.1,0.8,0.1,0.0,2216,0.7,0.3,1122,0.6,0.4,1018,0.6,0.4
01-02,Caprabo Lleida,8,34,19,15,2764,2745,6843,2725,2764,3489,1275,1036,14,9,2,10,0,2,0.6,0.1,0.7,0.0,0.1,3354,0.5,0.5,1489,0.5,0.5,1689,0.4,0.6
01-02,DKV Joventut,9,34,18,16,2858,2824,6792,3048,2858,2414,843,851,15,6,2,12,0,1,0.4,0.1,0.8,0.0,0.1,4378,0.4,0.6,2015,0.3,0.7,2197,0.3,0.7
01-02,F\xf3rum Valladolid,10,34,17,17,2753,2738,6844,2713,2753,4816,1774,1544,12,10,0,11,0,1,0.8,0.0,0.9,0.0,0.1,2028,0.7,0.3,979,0.6,0.4,1169,0.6,0.4
01-02,Casademont Girona,11,34,17,17,2587,2671,6794,2396,2587,3703,1136,943,10,7,0,9,0,1,0.7,0.0,0.9,0.0,0.1,3091,0.5,0.5,1451,0.4,0.6,1453,0.4,0.6
01-02,Caja San Fernando,12,34,14,20,2608,2613,6817,2339,2608,2062,662,653,19,8,7,11,0,1,0.4,0.4,0.6,0.0,0.1,4755,0.3,0.7,1946,0.3,0.7,1686,0.3,0.7
01-02,Leche R\xedo Breog\xe1n,13,34,13,21,2530,2731,6791,2246,2530,3359,1044,709,14,8,1,11,1,1,0.6,0.1,0.8,0.1,0.1,3432,0.5,0.5,1486,0.4,0.6,1537,0.3,0.7
01-02,C.B. Granada,14,34,12,22,2809,2943,6817,2594,2809,4549,1505,1485,13,11,2,9,1,1,0.8,0.2,0.7,0.1,0.1,2268,0.7,0.3,1304,0.5,0.5,1109,0.6,0.4
01-02,C\xe1ceres C.B.,15,34,11,23,2655,2933,6818,2395,2655,3033,1136,829,15,7,1,11,1,2,0.5,0.1,0.7,0.1,0.1,3785,0.4,0.6,1519,0.4,0.6,1566,0.3,0.7
01-02,Canarias Telecom,16,34,10,24,2560,2786,6790,2364,2631,1888,609,627,19,8,4,11,2,2,0.4,0.2,0.6,0.1,0.1,4902,0.3,0.7,2022,0.2,0.8,1737,0.3,0.7
01-02,Cantabria Lobos,17,34,7,27,2623,2942,6793,2299,2623,3656,1268,1071,19,12,3,13,1,2,0.6,0.2,0.7,0.1,0.1,3137,0.5,0.5,1355,0.5,0.5,1228,0.5,0.5
01-02,Gij\xf3n Baloncesto,18,34,6,28,2564,2836,6841,2202,2564,4325,1469,1126,15,10,3,10,1,1,0.7,0.2,0.7,0.1,0.1,2516,0.6,0.4,1095,0.6,0.4,1076,0.5,0.5
