temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana,total_jug,jug_esp,jug1,jug3,jug5,mas5,porcentaje_jug_esp,porcentaje_jug_1,porcentaje_jug_3,porcentaje_jug_5,porcentaje_jug_mas5,total_min_no_esp,porcentaje_min_esp,porcentaje_min_no_esp,total_puntos_no_esp,porcentaje_puntos_esp,porcentaje_puntos_no_esp,total_val_no_esp,porcentaje_val_esp,porcentaje_val__no_esp
90-91,Caixa Ourense,13,34,15,19,2749,2984,6818,2646,2749,4334,1430,1203,13,10,4,9,0,0,0.8,0.3,0.7,0.0,0.0,2484,0.6,0.4,1319,0.5,0.5,1443,0.5,0.5
90-91,Pamesa Valencia,14,34,15,19,2615,2628,6818,2788,2615,3644,1150,1071,13,7,2,11,0,0,0.5,0.2,0.8,0.0,0.0,3174,0.5,0.5,1465,0.4,0.6,1717,0.4,0.6
90-91,Tdk Manresa,15,34,15,19,2625,2751,6870,2740,2625,4370,1363,951,10,7,2,8,0,0,0.7,0.2,0.8,0.0,0.0,2500,0.6,0.4,1262,0.5,0.5,1789,0.3,0.7
90-91,Dyc Breog\xe1n,16,34,15,19,2550,2669,6818,2392,2550,4325,1222,894,16,11,7,9,0,0,0.7,0.4,0.6,0.0,0.0,2493,0.6,0.4,1328,0.5,0.5,1498,0.4,0.6
90-91,Caja San Fernando,17,34,15,19,2759,2812,6844,2735,2759,4329,1424,1174,13,11,3,10,0,0,0.8,0.2,0.8,0.0,0.0,2515,0.6,0.4,1335,0.5,0.5,1561,0.4,0.6
90-91,Zumos Juver Murcia,18,34,15,19,2696,2746,6842,2680,2696,4390,1407,1258,14,9,4,10,0,0,0.6,0.3,0.7,0.0,0.0,2452,0.6,0.4,1289,0.5,0.5,1422,0.5,0.5
90-91,Grupo Ifa Granollers,19,34,14,20,2712,2819,6792,2674,2712,4769,1813,1717,14,10,5,9,0,0,0.7,0.4,0.6,0.0,0.0,2023,0.7,0.3,899,0.7,0.3,957,0.6,0.4
90-91,C.B. Elos\xfaa Le\xf3n,20,34,13,21,2853,2847,6944,2733,2853,4414,1439,1209,13,10,3,10,0,0,0.8,0.2,0.8,0.0,0.0,2530,0.6,0.4,1414,0.5,0.5,1524,0.4,0.6
90-91,Cajabilbao,21,34,12,22,2782,2911,6910,2709,2782,4440,1314,1154,10,8,4,6,0,0,0.8,0.4,0.6,0.0,0.0,2470,0.6,0.4,1468,0.5,0.5,1555,0.4,0.6
90-91,Oar Ferrol,22,34,12,22,2565,2686,6818,2588,2565,4482,1420,1237,12,9,1,11,0,0,0.8,0.1,0.9,0.0,0.0,2336,0.7,0.3,1145,0.6,0.4,1351,0.5,0.5
90-91,Cajacanarias,23,34,10,24,2820,3055,6795,2345,2820,4282,1362,815,14,11,11,3,0,0,0.8,0.8,0.2,0.0,0.0,2513,0.6,0.4,1458,0.5,0.5,1530,0.3,0.7
90-91,Puleva Baloncesto Granada,24,34,9,25,2534,2899,6844,2264,2534,4437,1393,1013,12,9,6,6,0,0,0.8,0.5,0.5,0.0,0.0,2407,0.6,0.4,1141,0.5,0.5,1251,0.4,0.6
09-10,Regal FC Barcelona,1,34,31,3,2736,2202,6818,3234,2736,3389,1333,1698,14,7,0,14,0,0,0.5,0.0,1.0,0.0,0.0,3429,0.5,0.5,1403,0.5,0.5,1536,0.5,0.5
09-10,Caja Laboral,2,34,27,7,2734,2484,6791,2956,2734,1800,608,706,17,4,4,11,2,0,0.2,0.2,0.6,0.1,0.0,4991,0.3,0.7,2126,0.2,0.8,2250,0.2,0.8
09-10,Real Madrid,3,34,27,7,2762,2442,6894,3039,2762,2067,798,914,19,7,3,16,0,0,0.4,0.2,0.8,0.0,0.0,4827,0.3,0.7,1964,0.3,0.7,2125,0.3,0.7
09-10,Power Electronics Valencia,4,34,23,11,2637,2563,6793,2753,2637,2145,845,945,19,7,3,16,0,0,0.4,0.2,0.8,0.0,0.0,4648,0.3,0.7,1792,0.3,0.7,1808,0.3,0.7
09-10,Cajasol,5,34,19,15,2406,2334,6817,2347,2406,1979,673,734,17,5,2,14,1,0,0.3,0.1,0.8,0.1,0.0,4838,0.3,0.7,1733,0.3,0.7,1613,0.3,0.7
09-10,Unicaja,6,34,19,15,2721,2545,6812,2868,2721,2133,724,920,21,5,1,18,1,1,0.2,0.0,0.9,0.0,0.0,4679,0.3,0.7,1997,0.3,0.7,1948,0.3,0.7
09-10,Asefa Estudiantes,7,34,19,15,2672,2621,6868,2726,2672,1990,633,885,16,7,1,14,0,1,0.4,0.1,0.9,0.0,0.1,4878,0.3,0.7,2039,0.2,0.8,1841,0.3,0.7
09-10,Gran Canaria 2014,8,34,17,17,2560,2544,6818,2545,2560,615,130,122,16,4,0,14,2,0,0.2,0.0,0.9,0.1,0.0,6203,0.1,0.9,2430,0.1,0.9,2423,0.0,1.0
09-10,Bizkaia Bilbao Basket,9,34,16,18,2538,2551,6792,2526,2538,2498,869,826,15,6,0,14,1,0,0.4,0.0,0.9,0.1,0.0,4294,0.4,0.6,1669,0.3,0.7,1700,0.3,0.7
09-10,DKV Joventut,10,34,15,19,2639,2712,6817,2634,2639,2279,712,857,15,7,1,12,1,1,0.5,0.1,0.8,0.1,0.1,4538,0.3,0.7,1927,0.3,0.7,1777,0.3,0.7
